file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,5
style.css,2,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,31
style.css,3,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,4,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,5,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,0,36
style.css,6,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,0,4
style.css,7,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,1,23
style.css,8,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,0,0
style.css,9,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,0,0
style.css,10,css,bdf82b3e,Jazely Tong,2026-04-03,10:43:35,-07:00,2026-04-03T10:43:35-07:00,0,4
style.css,11,css,bdf82b3e,Jazely Tong,2026-04-03,10:43:35,-07:00,2026-04-03T10:43:35-07:00,1,23
style.css,12,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,1,15
style.css,13,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,1,18
style.css,14,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,1,11
style.css,15,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,32
style.css,16,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,0,0
style.css,17,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,0,0
style.css,18,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,0,7
style.css,19,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,0,3
style.css,20,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,1,39
style.css,21,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,1,12
style.css,22,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,17
style.css,23,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,1,43
style.css,24,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,0,0
style.css,25,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,0,0
style.css,26,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,0,5
style.css,27,css,62dd8eb4,Jazely Tong,2026-04-09,22:06:40,-07:00,2026-04-09T22:06:40-07:00,1,6
style.css,28,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,20
style.css,29,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,13
style.css,30,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,17
style.css,31,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,13
style.css,32,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,33,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,34,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,13
style.css,35,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,1,45
style.css,36,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,20
style.css,37,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,38,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,39,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,11
style.css,40,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,45
style.css,41,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,1,69
style.css,42,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,43,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,0
style.css,44,css,0938b5dc,Jazely Tong,2026-04-17,12:56:16,-07:00,2026-04-17T12:56:16-07:00,0,8
style.css,45,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,0,4
style.css,46,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,12
style.css,47,css,2db03471,Jazely Tong,2026-04-09,22:44:28,-07:00,2026-04-09T22:44:28-07:00,1,30
